n,m,algorithm,runtime,min_utility,sum_utility
3,3,leximin_primal_before,0.055136919021606445,1.0,3.0
3,3,leximin_primal_after,0.02197122573852539,1.0,3.0
3,3,cvxpy_leximin,0.05561399459838867,1.0,3.0
5,5,leximin_primal_before,0.03624391555786133,1.0,5.0
5,5,leximin_primal_after,0.026925086975097656,1.0,5.0
5,5,cvxpy_leximin,0.17052006721496582,1.0,5.0
7,7,leximin_primal_before,0.13633203506469727,0.75,6.0
7,7,leximin_primal_after,0.07370901107788086,0.75,6.0
7,7,cvxpy_leximin,0.408123254776001,1.0,7.0
8,8,leximin_primal_before,0.40693187713623047,0.8,7.0
8,8,leximin_primal_after,0.13487792015075684,0.8,7.0
8,8,cvxpy_leximin,0.6368277072906494,1.0,8.0
9,9,leximin_primal_before,1.4639952182769775,0.8,8.0
9,9,leximin_primal_after,0.28000378608703613,0.8,8.0
9,9,cvxpy_leximin,0.9702761173248291,1.0,9.0
10,10,leximin_primal_before,5.1757378578186035,0.7142857057142855,7.999999999999998
10,10,leximin_primal_after,0.5646378993988037,0.7142857057142854,7.999999999999998
10,10,cvxpy_leximin,1.2849109172821045,1.0,10.0
11,11,leximin_primal_before,25.28660821914673,0.85714285,10.0
11,11,leximin_primal_after,3.095792055130005,0.85714285,10.0
11,11,cvxpy_leximin,1.6704938411712646,1.0,11.0
12,12,leximin_primal_before,92.62137198448181,0.7777777722222223,10.0
12,12,leximin_primal_after,6.030498027801514,0.7777777677778892,10.0
12,12,cvxpy_leximin,2.1183929443359375,1.0,12.0
